11-15 02:33:08 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (5.86725) 0 -> 0
11-15 02:36:08 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (6.16674) 0 -> 0
11-15 02:38:04 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Fog:: (6.35965) 0
11-15 02:39:08 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (6.46623) 0 -> 0
11-15 02:42:07 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (6.76572) 0 -> 0
11-15 02:45:07 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (7.06521) 0 -> 0
11-15 02:45:10 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast:: (7.07087) overcast: 0.174532
11-15 02:45:10 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast::Rain:: (7.07087) 0
11-15 02:48:07 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (7.36471) 0 -> 0
11-15 02:51:06 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (7.6642) 0 -> 0
11-15 02:54:06 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (7.96369) 0 -> 0
11-15 02:57:06 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (8.26318) 0 -> 0
11-15 03:00:05 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (8.56267) 0 -> 0
11-15 03:03:05 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (8.86216) 0 -> 0
11-15 03:06:05 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (9.16166) 0 -> 0
11-15 03:08:32 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Fog:: (9.40647) 0
11-15 03:09:04 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (9.46115) 0 -> 0
11-15 03:09:13 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast:: (9.47608) overcast: 0.149803
11-15 03:09:13 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast::Rain:: (9.47608) 0
11-15 03:12:04 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (9.76064) 0 -> 0
11-15 03:15:04 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (10.0601) 0 -> 0
11-15 03:18:04 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (10.3596) 0 -> 0
11-15 03:21:03 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (10.6591) 0 -> 0
